persona,age,employment_status,monthly_income,monthly_expenses,monthly_savings,emergency_fund,total_debt,investments,insurance_cover,financial_goal,savings_rate,expense_ratio,disposable_income,debt_to_income_ratio,emergency_fund_months,investment_ratio,insurance_ratio,net_monthly_cashflow,financial_health_score
Disciplined Saver,41,Freelancer,42832.0,17989.0,19274.0,440313.0,96928.0,513984.0,7087839.0,Wealth Creation,0.45,0.42,24843.0,0.19,24.48,1.0,13.79,5569.0,81.73
Young Salaried,30,Salaried,38762.0,21707.0,7365.0,161250.0,132709.0,120937.0,6967857.0,Buy a Car,0.19,0.56,17055.0,0.29,7.43,0.26,14.98,9690.0,60.45
Business Owner,38,Business,100229.0,66151.0,21048.0,577319.0,8732712.0,1695875.0,18293797.0,Wealth Creation,0.21,0.66,34078.0,7.26,8.73,1.41,15.21,13030.0,43.82
Financially Stressed,31,Freelancer,22218.0,21774.0,1111.0,2888.0,488241.0,13331.0,1381071.0,Emergency Fund,0.05,0.98,444.0,1.83,0.13,0.05,5.18,-667.0,16.7
Freelancer,23,Freelancer,45912.0,30302.0,4591.0,190994.0,60459.0,165283.0,7514876.0,Wealth Creation,0.1,0.66,15610.0,0.11,6.3,0.3,13.64,11019.0,54.36
Young Salaried,24,Salaried,53075.0,24945.0,16984.0,188947.0,140417.0,152856.0,8935707.0,Wealth Creation,0.32,0.47,28130.0,0.22,7.57,0.24,14.03,11146.0,67.84
Young Salaried,26,Salaried,72600.0,34122.0,24684.0,168432.0,71626.0,243936.0,12745656.0,Buy a Car,0.34,0.47,38478.0,0.08,4.94,0.28,14.63,13794.0,66.2
Young Salaried,27,Salaried,69881.0,46121.0,16771.0,248776.0,183389.0,67086.0,7765177.0,Wealth Creation,0.24,0.66,23760.0,0.22,5.39,0.08,9.26,6989.0,55.03
Mid Career,43,Salaried,148164.0,69637.0,42968.0,851943.0,2291776.0,1493493.0,22633533.0,Children Education,0.29,0.47,78527.0,1.29,12.23,0.84,12.73,35559.0,65.65
Young Salaried,26,Salaried,66486.0,29919.0,15957.0,263949.0,50542.0,311154.0,10571274.0,Buy a Car,0.24,0.45,36567.0,0.06,8.82,0.39,13.25,20610.0,67.02
Young Salaried,23,Salaried,38851.0,22145.0,13209.0,156958.0,173520.0,125877.0,4778673.0,Buy a Car,0.34,0.57,16706.0,0.37,7.09,0.27,10.25,3497.0,63.67
Young Salaried,27,Salaried,69680.0,39021.0,21601.0,334464.0,291188.0,175594.0,8461939.0,Wealth Creation,0.31,0.56,30659.0,0.35,8.57,0.21,10.12,9058.0,64.6
Young Salaried,29,Salaried,69590.0,40362.0,17398.0,252612.0,128494.0,141964.0,9778787.0,Buy a Car,0.25,0.58,29228.0,0.15,6.26,0.17,11.71,11830.0,60.15
High Income High Debt,48,Business,748854.0,464289.0,112328.0,2838157.0,5104897.0,7278861.0,129312109.0,Debt Reduction,0.15,0.62,284565.0,0.57,6.11,0.81,14.39,172237.0,54.86
Freelancer,23,Freelancer,38292.0,23358.0,6127.0,166187.0,25144.0,192992.0,4227437.0,Wealth Creation,0.16,0.61,14934.0,0.05,7.11,0.42,9.2,8807.0,56.78
Young Salaried,24,Salaried,79848.0,45513.0,22357.0,229164.0,128732.0,239544.0,14085187.0,Buy a Car,0.28,0.57,34335.0,0.13,5.04,0.25,14.7,11978.0,62.11
Mid Career,31,Salaried,80321.0,47389.0,17671.0,532528.0,274910.0,481926.0,13686698.0,Children Education,0.22,0.59,32932.0,0.29,11.24,0.5,14.2,15261.0,68.35
Business Owner,28,Business,613312.0,312789.0,153328.0,2532979.0,5306015.0,4121457.0,109218601.0,Wealth Creation,0.25,0.51,300523.0,0.72,8.1,0.56,14.84,147195.0,62.15
Financially Stressed,55,Freelancer,33279.0,34277.0,1331.0,12313.0,643489.0,3993.0,3011084.0,Emergency Fund,0.04,1.03,-998.0,1.61,0.36,0.01,7.54,-2329.0,19.74
Mid Career,44,Salaried,143354.0,74544.0,51607.0,936102.0,2795730.0,808517.0,27850815.0,Children Education,0.36,0.52,68810.0,1.63,12.56,0.47,16.19,17203.0,66.58
Young Salaried,29,Salaried,61697.0,25913.0,14807.0,149307.0,146920.0,273935.0,8432746.0,Wealth Creation,0.24,0.42,35784.0,0.2,5.76,0.37,11.39,20977.0,59.57
High Income High Debt,35,Business,970094.0,591757.0,145514.0,3405030.0,11525881.0,5005685.0,128867287.0,Debt Reduction,0.15,0.61,378337.0,0.99,5.75,0.43,11.07,232823.0,47.46
Student,23,Student,13838.0,12177.0,1384.0,8303.0,48432.0,4982.0,383589.0,Higher Education,0.1,0.88,1661.0,0.29,0.68,0.03,2.31,277.0,32.43
Young Salaried,29,Salaried,61825.0,34004.0,9892.0,169400.0,146391.0,111285.0,7129659.0,Wealth Creation,0.16,0.55,27821.0,0.2,4.98,0.15,9.61,17929.0,51.71
High Income High Debt,46,Business,614902.0,491922.0,43043.0,2441161.0,16598386.0,6272000.0,75116428.0,Debt Reduction,0.07,0.8,122980.0,2.25,4.96,0.85,10.18,79937.0,31.48
Business Owner,29,Business,753070.0,519618.0,225921.0,4149416.0,3374497.0,19519574.0,142782072.0,Wealth Creation,0.3,0.69,233452.0,0.37,7.99,2.16,15.8,7531.0,70.62
Financially Stressed,23,Freelancer,46380.0,48699.0,928.0,15769.0,910367.0,16697.0,2849587.0,Emergency Fund,0.02,1.05,-2319.0,1.64,0.32,0.03,5.12,-3247.0,16.62
High Income High Debt,44,Business,827867.0,612622.0,124180.0,1026555.0,7361798.0,6755395.0,139280344.0,Debt Reduction,0.15,0.74,215245.0,0.74,1.68,0.68,14.02,91065.0,44.51
Student,19,Student,9593.0,7866.0,672.0,8442.0,76005.0,2302.0,573278.0,Higher Education,0.07,0.82,1727.0,0.66,1.07,0.02,4.98,1055.0,32.09
Mid Career,37,Salaried,84773.0,50864.0,16955.0,489140.0,2402679.0,213628.0,14953957.0,Buy a House,0.2,0.6,33909.0,2.36,9.62,0.21,14.7,16954.0,46.8
Business Owner,46,Business,279377.0,189976.0,72638.0,927532.0,5523727.0,2279716.0,48041669.0,Business,0.26,0.68,89401.0,1.65,4.88,0.68,14.33,16763.0,48.16
Student,24,Student,6902.0,6005.0,1035.0,4348.0,71038.0,828.0,83652.0,Emergency Fund,0.15,0.87,897.0,0.86,0.72,0.01,1.01,-138.0,29.11
Business Owner,60,Business,654932.0,425706.0,144085.0,2554235.0,7012755.0,13517796.0,121031434.0,Wealth Creation,0.22,0.65,229226.0,0.89,6.0,1.72,15.4,85141.0,58.35
Retired,74,Retired,98564.0,53225.0,25627.0,1086175.0,19662.0,3098852.0,12608307.0,Retirement,0.26,0.54,45339.0,0.02,20.41,2.62,10.66,19712.0,78.22
High Income High Debt,46,Business,741012.0,570579.0,103742.0,2171165.0,5210792.0,2934408.0,104838378.0,Debt Reduction,0.14,0.77,170433.0,0.59,3.81,0.33,11.79,66691.0,45.99
Retired,62,Retired,90844.0,69950.0,22711.0,962946.0,476482.0,2474591.0,15512521.0,Retirement,0.25,0.77,20894.0,0.44,13.77,2.27,14.23,-1817.0,73.25
Mid Career,41,Salaried,104658.0,39770.0,23025.0,438517.0,2858014.0,1067512.0,24615562.0,Buy a House,0.22,0.38,64888.0,2.28,11.03,0.85,19.6,41863.0,53.91
High Income High Debt,48,Business,830013.0,664010.0,149402.0,1543824.0,13883940.0,8964140.0,135557723.0,Debt Reduction,0.18,0.8,166003.0,1.39,2.33,0.9,13.61,16601.0,40.82
Young Salaried,29,Salaried,50903.0,25961.0,15780.0,136420.0,207807.0,164926.0,7427766.0,Wealth Creation,0.31,0.51,24942.0,0.34,5.25,0.27,12.16,9162.0,61.04
Young Salaried,29,Salaried,50084.0,23039.0,13022.0,260938.0,76217.0,186312.0,7596741.0,Wealth Creation,0.26,0.46,27045.0,0.13,11.33,0.31,12.64,14023.0,71.0
Mid Career,40,Salaried,199954.0,83981.0,49988.0,1269708.0,2777789.0,1343691.0,36351637.0,Children Education,0.25,0.42,115973.0,1.16,15.12,0.56,15.15,65985.0,65.48
Business Owner,29,Business,857050.0,471378.0,188551.0,3273931.0,7544424.0,30750954.0,141001866.0,Wealth Creation,0.22,0.55,385672.0,0.73,6.95,2.99,13.71,197121.0,64.92
Business Owner,59,Business,624633.0,424750.0,124927.0,1992579.0,9384392.0,11618174.0,130048591.0,Wealth Creation,0.2,0.68,199883.0,1.25,4.69,1.55,17.35,74956.0,51.42
Retired,73,Retired,86504.0,50172.0,12111.0,974900.0,339880.0,1474028.0,11605377.0,Retirement,0.14,0.58,36332.0,0.33,19.43,1.42,11.18,24221.0,66.05
Student,23,Student,9211.0,7092.0,368.0,2211.0,5135.0,1105.0,324964.0,Emergency Fund,0.04,0.77,2119.0,0.05,0.31,0.01,2.94,1751.0,33.72
Financially Stressed,50,Business,49510.0,50995.0,990.0,28716.0,893178.0,17824.0,3944957.0,Emergency Fund,0.02,1.03,-1485.0,1.5,0.56,0.03,6.64,-2475.0,19.2
Retired,78,Retired,49142.0,31451.0,13268.0,523362.0,406607.0,984806.0,8326620.0,Retirement,0.27,0.64,17691.0,0.69,16.64,1.67,14.12,4423.0,71.8
Freelancer,42,Freelancer,166596.0,81632.0,19992.0,639729.0,246001.0,359847.0,26028959.0,Wealth Creation,0.12,0.49,84964.0,0.12,7.84,0.18,13.02,64972.0,57.61
Freelancer,42,Freelancer,118943.0,84450.0,28546.0,895641.0,147116.0,628019.0,17712992.0,Wealth Creation,0.24,0.71,34493.0,0.1,10.61,0.44,12.41,5947.0,67.31
Student,24,Student,7195.0,6404.0,216.0,288.0,79812.0,3454.0,421339.0,Higher Education,0.03,0.89,791.0,0.92,0.04,0.04,4.88,575.0,26.28
Retired,65,Retired,47640.0,24773.0,9528.0,556912.0,221603.0,760334.0,7877750.0,Retirement,0.2,0.52,22867.0,0.39,22.48,1.33,13.78,13339.0,70.34
Financially Stressed,46,Salaried,46198.0,43426.0,462.0,25409.0,134661.0,22175.0,3503656.0,Emergency Fund,0.01,0.94,2772.0,0.24,0.59,0.04,6.32,2310.0,33.11
Mid Career,32,Salaried,161529.0,87226.0,48459.0,810876.0,425874.0,600888.0,38146689.0,Children Education,0.3,0.54,74303.0,0.22,9.3,0.31,19.68,25844.0,70.09
Mid Career,39,Salaried,84126.0,35333.0,25238.0,605707.0,2625395.0,635993.0,18716352.0,Children Education,0.3,0.42,48793.0,2.6,17.14,0.63,18.54,23555.0,56.39
Mid Career,41,Salaried,63762.0,22954.0,21679.0,437407.0,388680.0,642721.0,12762602.0,Children Education,0.34,0.36,40808.0,0.51,19.06,0.84,16.68,19129.0,76.86
Young Salaried,25,Salaried,50322.0,29690.0,12580.0,265700.0,136774.0,54348.0,6853856.0,Buy a Car,0.25,0.59,20632.0,0.23,8.95,0.09,11.35,8052.0,63.41
Young Salaried,28,Salaried,58699.0,31697.0,17023.0,191359.0,59539.0,225404.0,7938453.0,Wealth Creation,0.29,0.54,27002.0,0.08,6.04,0.32,11.27,9979.0,62.85
Mid Career,35,Salaried,171837.0,61861.0,56706.0,1101475.0,2860431.0,886679.0,30023361.0,Children Education,0.33,0.36,109976.0,1.39,17.81,0.43,14.56,53270.0,67.46
Student,24,Student,11636.0,10356.0,582.0,4073.0,48574.0,4189.0,551546.0,Higher Education,0.05,0.89,1280.0,0.35,0.39,0.03,3.95,698.0,31.31
Financially Stressed,28,Salaried,36405.0,34585.0,1092.0,11650.0,497413.0,13106.0,2691058.0,Emergency Fund,0.03,0.95,1820.0,1.14,0.34,0.03,6.16,728.0,24.14
Financially Stressed,48,Freelancer,36678.0,36311.0,734.0,367.0,456390.0,4401.0,2693632.0,Emergency Fund,0.02,0.99,367.0,1.04,0.01,0.01,6.12,-367.0,21.71
Young Salaried,23,Salaried,76341.0,36644.0,20612.0,334374.0,62042.0,338954.0,8666230.0,Wealth Creation,0.27,0.48,39697.0,0.07,9.12,0.37,9.46,19085.0,66.31
Mid Career,39,Salaried,139988.0,48996.0,50396.0,760135.0,723912.0,1579065.0,26172156.0,Buy a House,0.36,0.35,90992.0,0.43,15.51,0.94,15.58,40596.0,78.97
Young Salaried,27,Salaried,36393.0,20380.0,10554.0,99353.0,41742.0,148483.0,3567970.0,Wealth Creation,0.29,0.56,16013.0,0.1,4.88,0.34,8.17,5459.0,58.6
High Income High Debt,34,Salaried,735366.0,441220.0,117659.0,2154622.0,7620137.0,4500440.0,121247146.0,Debt Reduction,0.16,0.6,294146.0,0.86,4.88,0.51,13.74,176487.0,49.66
Mid Career,40,Salaried,91832.0,35814.0,34896.0,702515.0,2011078.0,484873.0,16232224.0,Buy a House,0.38,0.39,56018.0,1.82,19.62,0.44,14.73,21122.0,66.61
Mid Career,44,Salaried,125826.0,69204.0,50330.0,636680.0,1122562.0,407676.0,26861334.0,Buy a House,0.4,0.55,56622.0,0.74,9.2,0.27,17.79,6292.0,70.53
Young Salaried,23,Salaried,65042.0,42928.0,10407.0,154800.0,126414.0,148296.0,7992361.0,Buy a Car,0.16,0.66,22114.0,0.16,3.61,0.19,10.24,11707.0,49.73
Mid Career,34,Salaried,180273.0,73912.0,43266.0,748133.0,1463121.0,1384497.0,34482619.0,Children Education,0.24,0.41,106361.0,0.68,10.12,0.64,15.94,63095.0,66.09
Freelancer,23,Freelancer,45565.0,30984.0,13214.0,352217.0,73984.0,202309.0,6074726.0,Wealth Creation,0.29,0.68,14581.0,0.14,11.37,0.37,11.11,1367.0,69.89
Young Salaried,28,Salaried,56725.0,37438.0,8509.0,285327.0,45855.0,149754.0,8549592.0,Buy a Car,0.15,0.66,19287.0,0.07,7.62,0.22,12.56,10778.0,58.32
Freelancer,30,Freelancer,95931.0,56599.0,9593.0,519946.0,207993.0,391398.0,10061243.0,Emergency Fund,0.1,0.59,39332.0,0.18,9.19,0.34,8.74,29739.0,55.69
Young Salaried,30,Salaried,36586.0,24513.0,8049.0,110124.0,166932.0,158052.0,6207912.0,Wealth Creation,0.22,0.67,12073.0,0.38,4.49,0.36,14.14,4024.0,55.24
Student,23,Student,17796.0,11745.0,2313.0,8720.0,47709.0,10678.0,331006.0,Emergency Fund,0.13,0.66,6051.0,0.22,0.74,0.05,1.55,3738.0,36.8
Freelancer,31,Freelancer,102097.0,44923.0,13273.0,728973.0,708.0,281788.0,18169182.0,Wealth Creation,0.13,0.44,57174.0,0.0,16.23,0.23,14.83,43901.0,67.54
Business Owner,47,Business,451588.0,221278.0,130961.0,3174664.0,9955638.0,4660388.0,83778606.0,Wealth Creation,0.29,0.49,230310.0,1.84,14.35,0.86,15.46,99349.0,62.53
Young Salaried,24,Salaried,51529.0,30402.0,15459.0,161801.0,76746.0,191688.0,8990780.0,Wealth Creation,0.3,0.59,21127.0,0.12,5.32,0.31,14.54,5668.0,63.58
Student,23,Student,5134.0,4569.0,51.0,1797.0,89242.0,1848.0,262450.0,Higher Education,0.01,0.89,565.0,1.45,0.39,0.03,4.26,514.0,21.67
Freelancer,40,Freelancer,103135.0,78383.0,26815.0,699255.0,289566.0,457919.0,17153413.0,Wealth Creation,0.26,0.76,24752.0,0.23,8.92,0.37,13.86,-2063.0,64.55
Freelancer,29,Freelancer,49116.0,32417.0,7367.0,180747.0,233837.0,100197.0,5145392.0,Wealth Creation,0.15,0.66,16699.0,0.4,5.58,0.17,8.73,9332.0,49.47
Freelancer,31,Freelancer,128937.0,90256.0,30945.0,406152.0,275231.0,649842.0,15983031.0,Emergency Fund,0.24,0.7,38681.0,0.18,4.5,0.42,10.33,7736.0,55.15
Young Salaried,27,Salaried,55438.0,33263.0,17740.0,231731.0,245553.0,259450.0,8761422.0,Wealth Creation,0.32,0.6,22175.0,0.37,6.97,0.39,13.17,4435.0,64.48
Mid Career,35,Salaried,183436.0,106393.0,62368.0,1447310.0,1688262.0,1694949.0,37883203.0,Buy a House,0.34,0.58,77043.0,0.77,13.6,0.77,17.21,14675.0,73.1
Young Salaried,29,Salaried,70039.0,30817.0,14008.0,254242.0,150062.0,58833.0,8480322.0,Buy a Car,0.2,0.44,39222.0,0.18,8.25,0.07,10.09,25214.0,59.9
Retired,68,Retired,92592.0,57407.0,19444.0,961105.0,40027.0,2933315.0,9044387.0,Retirement,0.21,0.62,35185.0,0.04,16.74,2.64,8.14,15741.0,73.38
Young Salaried,29,Salaried,64323.0,28945.0,19940.0,354420.0,49707.0,216125.0,11493234.0,Buy a Car,0.31,0.45,35378.0,0.06,12.24,0.28,14.89,15438.0,76.82
Mid Career,30,Salaried,102247.0,55213.0,25562.0,594055.0,334331.0,564403.0,22809261.0,Buy a House,0.25,0.54,47034.0,0.27,10.76,0.46,18.59,21472.0,69.97
Young Salaried,29,Salaried,42338.0,21592.0,7197.0,236669.0,196334.0,116853.0,6223686.0,Buy a Car,0.17,0.51,20746.0,0.39,10.96,0.23,12.25,13549.0,62.76
Student,23,Student,13853.0,12468.0,0.0,10528.0,87413.0,6649.0,525306.0,Emergency Fund,0.0,0.9,1385.0,0.53,0.84,0.04,3.16,1385.0,29.21
Freelancer,26,Freelancer,169250.0,94780.0,37235.0,641458.0,174019.0,792090.0,22726890.0,Wealth Creation,0.22,0.56,74470.0,0.09,6.77,0.39,11.19,37235.0,60.41
Retired,62,Retired,101257.0,68855.0,30377.0,1190782.0,215657.0,1603911.0,15553075.0,Retirement,0.3,0.68,32402.0,0.18,17.29,1.32,12.8,2025.0,75.06
Young Salaried,28,Salaried,67889.0,32587.0,12899.0,376784.0,23355.0,162934.0,8806561.0,Wealth Creation,0.19,0.48,35302.0,0.03,11.56,0.2,10.81,22403.0,66.87
Young Salaried,24,Salaried,50144.0,27579.0,16046.0,189043.0,29540.0,192553.0,4849928.0,Wealth Creation,0.32,0.55,22565.0,0.05,6.85,0.32,8.06,6519.0,63.78
Financially Stressed,42,Freelancer,44924.0,48069.0,449.0,20665.0,685705.0,21564.0,3493290.0,Emergency Fund,0.01,1.07,-3145.0,1.27,0.43,0.04,6.48,-3594.0,20.2
Mid Career,38,Salaried,116035.0,68461.0,24367.0,837773.0,495094.0,1336723.0,17057145.0,Children Education,0.21,0.59,47574.0,0.36,12.24,0.96,12.25,23207.0,68.61
Mid Career,30,Salaried,134195.0,63072.0,38917.0,638768.0,1474690.0,966204.0,20483525.0,Children Education,0.29,0.47,71123.0,0.92,10.13,0.6,12.72,32206.0,64.89
Mid Career,37,Salaried,97463.0,41909.0,27290.0,636433.0,209094.0,760211.0,17063822.0,Children Education,0.28,0.43,55554.0,0.18,15.19,0.65,14.59,28264.0,75.22
Mid Career,30,Salaried,195472.0,68415.0,66460.0,1557912.0,2894803.0,727156.0,46537974.0,Buy a House,0.34,0.35,127057.0,1.23,22.77,0.31,19.84,60597.0,69.31
Mid Career,31,Salaried,105220.0,48401.0,30514.0,616589.0,1567165.0,315660.0,20934571.0,Children Education,0.29,0.46,56819.0,1.24,12.74,0.25,16.58,26305.0,65.86
Business Owner,47,Business,179527.0,77197.0,48472.0,1359019.0,1704348.0,3166856.0,32120971.0,Business,0.27,0.43,102330.0,0.79,17.6,1.47,14.91,53858.0,72.27
Young Salaried,28,Salaried,67800.0,31866.0,21696.0,196620.0,50153.0,301032.0,10210680.0,Wealth Creation,0.32,0.47,35934.0,0.06,6.17,0.37,12.55,14238.0,66.24
Freelancer,28,Freelancer,146124.0,92058.0,30686.0,637101.0,13267.0,789070.0,14361067.0,Emergency Fund,0.21,0.63,54066.0,0.01,6.92,0.45,8.19,23380.0,58.55
High Income High Debt,32,Business,626076.0,519643.0,118954.0,669901.0,10138141.0,3155423.0,104279219.0,Debt Reduction,0.19,0.83,106433.0,1.35,1.29,0.42,13.88,-12521.0,38.29
Mid Career,38,Salaried,93739.0,55306.0,35621.0,631801.0,1460613.0,821154.0,21192513.0,Buy a House,0.38,0.59,38433.0,1.3,11.42,0.73,18.84,2812.0,69.51
Freelancer,33,Freelancer,168347.0,74073.0,33669.0,1124558.0,102699.0,565646.0,29514596.0,Wealth Creation,0.2,0.44,94274.0,0.05,15.18,0.28,14.61,60605.0,70.88
Mid Career,37,Salaried,108903.0,40294.0,23959.0,713315.0,1786124.0,588076.0,16714432.0,Buy a House,0.22,0.37,68609.0,1.37,17.7,0.45,12.79,44650.0,60.46
Mid Career,32,Salaried,64532.0,30330.0,25167.0,494960.0,1651077.0,325241.0,15325059.0,Children Education,0.39,0.47,34202.0,2.13,16.32,0.42,19.79,9035.0,64.21
Mid Career,44,Salaried,120421.0,59006.0,33718.0,643048.0,2884606.0,606922.0,17456228.0,Children Education,0.28,0.49,61415.0,2.0,10.9,0.42,12.08,27697.0,55.57
Business Owner,32,Business,214251.0,134978.0,53563.0,1244798.0,1628203.0,2005389.0,45738303.0,Business,0.25,0.63,79273.0,0.63,9.22,0.78,17.79,25710.0,64.7
Young Salaried,30,Salaried,73116.0,43138.0,13892.0,267605.0,213219.0,140383.0,11230618.0,Wealth Creation,0.19,0.59,29978.0,0.24,6.2,0.16,12.8,16086.0,56.9
Disciplined Saver,48,Salaried,33636.0,12782.0,12445.0,210561.0,53560.0,520685.0,6175570.0,Wealth Creation,0.37,0.38,20854.0,0.13,16.47,1.29,15.3,8409.0,82.93
Young Salaried,22,Salaried,66680.0,40008.0,12002.0,292058.0,159227.0,80016.0,7729546.0,Buy a Car,0.18,0.6,26672.0,0.2,7.3,0.1,9.66,14670.0,56.24
Freelancer,44,Freelancer,158811.0,93698.0,39703.0,1140263.0,288348.0,362089.0,17685193.0,Wealth Creation,0.25,0.59,65113.0,0.15,12.17,0.19,9.28,25410.0,68.08
Young Salaried,25,Salaried,77108.0,33156.0,14651.0,404817.0,159672.0,286842.0,9049395.0,Buy a Car,0.19,0.43,43952.0,0.17,12.21,0.31,9.78,29301.0,66.24
Young Salaried,25,Salaried,41276.0,17749.0,10319.0,172946.0,70323.0,118875.0,5468244.0,Wealth Creation,0.25,0.43,23527.0,0.14,9.74,0.24,11.04,13208.0,66.58
Mid Career,40,Salaried,107670.0,41991.0,26918.0,605105.0,2053351.0,684781.0,17093689.0,Children Education,0.25,0.39,65679.0,1.59,14.41,0.53,13.23,38761.0,60.74
Mid Career,42,Salaried,78711.0,33059.0,30697.0,425039.0,2313317.0,453375.0,17804428.0,Buy a House,0.39,0.42,45652.0,2.45,12.86,0.48,18.85,14955.0,62.04
Mid Career,40,Salaried,103942.0,39498.0,41577.0,593509.0,1362672.0,1209885.0,19919445.0,Buy a House,0.4,0.38,64444.0,1.09,15.03,0.97,15.97,22867.0,75.6
Student,21,Student,14068.0,12943.0,563.0,1547.0,91183.0,1688.0,253224.0,Emergency Fund,0.04,0.92,1125.0,0.54,0.12,0.01,1.5,562.0,26.73
Financially Stressed,47,Business,44281.0,40296.0,2214.0,17270.0,534795.0,5314.0,3166977.0,Emergency Fund,0.05,0.91,3985.0,1.01,0.43,0.01,5.96,1771.0,26.65
Student,18,Student,11667.0,8050.0,1400.0,1167.0,50023.0,4200.0,627218.0,Emergency Fund,0.12,0.69,3617.0,0.36,0.14,0.03,4.48,2217.0,35.87
Freelancer,35,Freelancer,73500.0,38955.0,11025.0,376320.0,21922.0,105840.0,9305100.0,Emergency Fund,0.15,0.53,34545.0,0.02,9.66,0.12,10.55,23520.0,61.11
Mid Career,44,Salaried,88233.0,34411.0,32646.0,428812.0,1653659.0,899977.0,14484329.0,Buy a House,0.37,0.39,53822.0,1.56,12.46,0.85,13.68,21176.0,68.76
Mid Career,40,Salaried,112271.0,40418.0,37049.0,678117.0,487075.0,996966.0,18861528.0,Children Education,0.33,0.36,71853.0,0.36,16.78,0.74,14.0,34804.0,76.6
Young Salaried,30,Salaried,41812.0,21324.0,12962.0,238747.0,99254.0,105366.0,6919050.0,Wealth Creation,0.31,0.51,20488.0,0.2,11.2,0.21,13.79,7526.0,73.04
High Income High Debt,49,Salaried,224224.0,192833.0,42603.0,612132.0,4646581.0,699579.0,37508191.0,Debt Reduction,0.19,0.86,31391.0,1.73,3.17,0.26,13.94,-11212.0,37.81
Student,23,Student,11865.0,9492.0,1068.0,4153.0,74659.0,5695.0,680576.0,Higher Education,0.09,0.8,2373.0,0.52,0.44,0.04,4.78,1305.0,33.08
Young Salaried,24,Salaried,34627.0,19045.0,7272.0,110806.0,185527.0,108036.0,3610904.0,Wealth Creation,0.21,0.55,15582.0,0.45,5.82,0.26,8.69,8310.0,53.31
Young Salaried,29,Salaried,45207.0,27124.0,11302.0,245926.0,52727.0,48824.0,7741247.0,Buy a Car,0.25,0.6,18083.0,0.1,9.07,0.09,14.27,6781.0,66.57
Business Owner,51,Business,362792.0,163256.0,90698.0,2445218.0,1176663.0,11928601.0,53591634.0,Business,0.25,0.45,199536.0,0.27,14.98,2.74,12.31,108838.0,77.53
Mid Career,33,Salaried,68420.0,23947.0,16421.0,416678.0,1988290.0,361258.0,10993726.0,Buy a House,0.24,0.35,44473.0,2.42,17.4,0.44,13.39,28052.0,53.23
Mid Career,42,Salaried,91191.0,34653.0,22798.0,661135.0,227711.0,295459.0,13405077.0,Buy a House,0.25,0.38,56538.0,0.21,19.08,0.27,12.25,33740.0,70.84
Young Salaried,29,Salaried,32115.0,22159.0,6102.0,164750.0,56423.0,69368.0,4894326.0,Buy a Car,0.19,0.69,9956.0,0.15,7.43,0.18,12.7,3854.0,58.95
Young Salaried,29,Salaried,42228.0,18580.0,10979.0,86145.0,249651.0,81078.0,7195651.0,Buy a Car,0.26,0.44,23648.0,0.49,4.64,0.16,14.2,12669.0,57.53
Mid Career,37,Salaried,163703.0,58933.0,62207.0,658086.0,718411.0,1198306.0,32256039.0,Buy a House,0.38,0.36,104770.0,0.37,11.17,0.61,16.42,42563.0,78.14
Disciplined Saver,48,Freelancer,26464.0,14026.0,12703.0,222298.0,79568.0,209595.0,5598724.0,Wealth Creation,0.48,0.53,12438.0,0.25,15.85,0.66,17.63,-265.0,79.9
Retired,80,Retired,56984.0,34190.0,14246.0,606310.0,144177.0,1059902.0,9416036.0,Retirement,0.25,0.6,22794.0,0.21,17.73,1.55,13.77,8548.0,74.58
Freelancer,29,Freelancer,91540.0,43939.0,17393.0,596841.0,190700.0,252650.0,16180610.0,Emergency Fund,0.19,0.48,47601.0,0.17,13.58,0.23,14.73,30208.0,69.14
Student,21,Student,13006.0,11055.0,1301.0,10535.0,94786.0,3121.0,454170.0,Higher Education,0.1,0.85,1951.0,0.61,0.95,0.02,2.91,650.0,31.42
Mid Career,35,Salaried,184658.0,70170.0,48011.0,884512.0,869365.0,1617604.0,29227668.0,Buy a House,0.26,0.38,114488.0,0.39,12.61,0.73,13.19,66477.0,71.89
Freelancer,33,Freelancer,186569.0,85822.0,44777.0,772396.0,17184.0,783590.0,21515137.0,Wealth Creation,0.24,0.46,100747.0,0.01,9.0,0.35,9.61,55970.0,65.15
Wealth Builder,35,Salaried,200687.0,94323.0,78268.0,1621551.0,31578.0,5442631.0,56738229.0,Wealth Creation,0.39,0.47,106364.0,0.01,17.19,2.26,23.56,28096.0,87.39
High Income High Debt,47,Business,524387.0,456217.0,57683.0,1431577.0,10122791.0,3838513.0,90173589.0,Debt Reduction,0.11,0.87,68170.0,1.61,3.14,0.61,14.33,10487.0,35.84
Freelancer,31,Freelancer,180893.0,74166.0,18089.0,712718.0,128239.0,325607.0,28262722.0,Wealth Creation,0.1,0.41,106727.0,0.06,9.61,0.15,13.02,88638.0,60.05
Young Salaried,22,Salaried,43878.0,17990.0,10531.0,192624.0,130272.0,184288.0,6265778.0,Wealth Creation,0.24,0.41,25888.0,0.25,10.71,0.35,11.9,15357.0,67.72
Freelancer,28,Freelancer,95547.0,74527.0,23887.0,485379.0,34028.0,103191.0,9482084.0,Wealth Creation,0.25,0.78,21020.0,0.03,6.51,0.09,8.27,-2867.0,57.01
Business Owner,58,Business,865652.0,406856.0,242383.0,5384355.0,3077497.0,28774272.0,166309062.0,Business,0.28,0.47,458796.0,0.3,13.23,2.77,16.01,216413.0,80.67
